log capacity,log update,log init-update,time(s),proof size(KB)
32,8,3,804.96,2.096
32,9,3,802.08,2.096
32,10,3,800.16,2.096
32,11,3,804.96,2.096
32,12,3,803.04,2.096
32,13,3,802.08,2.096
32,14,3,800.16,2.096
32,15,3,806.40,2.096
32,16,3,813.12,2.096
32,17,3,816.96,2.096
32,18,3,817.44,2.096
32,19,3,819.84,2.096
32,20,3,825.60,2.096
32,21,3,852.48,2.096
32,22,3,909.12,2.096
32,23,3,1010.40,2.096
32,24,3,1257.12,2.096
32,25,3,1782.24,2.096
32,26,3,2960.64,2.096
32,27,3,5544.00,2.096
32,28,3,11088.00,2.096
32,29,3,22176.00,2.096
32,30,3,44352.00,2.096
33,0,3,1608.96,2.096
33,1,3,1619.52,2.160
33,2,3,1619.52,2.160
33,3,3,1615.68,2.160
33,4,3,1617.60,2.160
33,5,3,1614.72,2.160
33,6,3,1606.08,2.160
33,7,3,1612.80,2.160
33,8,3,1609.92,2.160
33,9,3,1604.16,2.160
33,10,3,1600.32,2.160
33,11,3,1609.92,2.160
33,12,3,1606.08,2.160
33,13,3,1604.16,2.160
33,14,3,1600.32,2.160
33,15,3,1612.80,2.160
33,16,3,1626.24,2.160
33,17,3,1633.92,2.160
33,18,3,1634.88,2.160
33,19,3,1639.68,2.160
33,20,3,1651.20,2.160
33,21,3,1704.96,2.160
33,22,3,1818.24,2.160
33,23,3,2020.80,2.160
33,24,3,2514.24,2.160
33,25,3,3564.48,2.160
33,26,3,5921.28,2.160
33,27,3,11088.00,2.160
33,28,3,22176.00,2.160
33,29,3,44352.00,2.160
33,30,3,88704.00,2.160
33,31,3,177408.00,2.160
